company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,gender,Race,Education,state,country
SAP,Software Engineer,140000,8,8,117000,Male,Asian,Bachelor's Degree, VA,US
Intel,Hardware Engineer,125000,7,5,110000,Male,Asian,Master's Degree, TX,US
Microsoft,Software Engineer,227000,6,0,150000,Male,Asian,Master's Degree, WA,US
Opendoor,Software Engineer,147000,5,2,130000,Male,White,Master's Degree, CA,US
HSBC,Software Engineer,233000,9,4,194000,Male,Asian,Master's Degree, EN,United Kingdom
Google,Software Engineer,354000,12,12,183000,Male,Asian,PhD, CA,US
Microsoft,Software Engineer,156000,7,7,140000,Female,Asian,Bachelor's Degree, WA,US
Shopify,Software Engineer,150000,0,0,120000,Female,White,Bachelor's Degree, NY,US
IBM,Solution Architect,157000,13,1,150000,Male,Asian,Master's Degree, CA,US
IBM,Software Engineer,194000,13,13,194000,Male,Asian,Bachelor's Degree, MA,US
Two Sigma,Software Engineer,250000,9,7,165000,Male,White,Master's Degree, NY,US
Microsoft,Software Engineer,167000,6,3,137000,Male,Asian,Master's Degree, WA,US
Lockheed Martin,Software Engineer,128000,3,1,112000,Male,White,Bachelor's Degree, CA,US
Microsoft,Hardware Engineer,188000,4,1,147000,Female,Asian,Master's Degree, CA,US
Amazon,Software Engineer,215000,3,1,145000,Male,Asian,Master's Degree, WA,US
Apple,Hardware Engineer,202000,3,2,130000,Male,White,Bachelor's Degree, CA,US
Facebook,Software Engineer,185000,0,0,123000,Male,Asian,Master's Degree, CA,US
Amazon,Technical Program Manager,300000,16,4,160000,Male,Asian,Master's Degree, WA,US
Hulu,Technical Program Manager,272000,22,5,159000,Male,White,Master's Degree, CA,US
Stripe,Technical Program Manager,265000,7,1,171000,Male,White,Bachelor's Degree, CA,US
Google,Technical Program Manager,247000,3,0,150000,Male,White,Bachelor's Degree, CA,US
Google,Data Scientist,170000,3,3,170000,Male,White,Bachelor's Degree, CA,US
Zillow,Software Engineer,215000,9,2,155000,Male,Asian,Master's Degree, WA,US
Stripe,Product Manager,271000,10,1,142000,Male,White,Master's Degree, CA,US
Bloomberg,Software Engineer,165000,0,0,145000,Male,Black,Bachelor's Degree, NY,US
Facebook,Data Scientist,205000,0,0,150000,Female,Asian,PhD, CA,US
