company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,gender,Race,Education,state,country,bonus
88.0,11,272000,2,0,165000,1,0,2,112,63,136450.0
82.0,4,100000,0,0,90000,1,4,0,112,63,138730.0
43.0,11,800000,15,8,250000,1,4,0,112,63,205350.0
88.0,11,272000,5,0,165000,2,4,0,161,63,255060.0
0.0,11,162000,0,0,130000,0,4,0,19,63,143710.0
89.0,11,99000,3,1,66000,1,4,0,116,52,143600.0
89.0,11,190000,4,4,127000,1,0,0,19,63,204670.0
89.0,11,252000,4,0,160000,1,0,0,153,63,142180.0
89.0,11,89000,4,2,70000,1,0,0,116,52,143780.0
7.0,8,230000,20,15,185000,1,4,2,19,63,204160.0
89.0,13,181000,10,2,180000,1,1,0,19,63,141420.0
89.0,11,381000,5,5,198000,1,4,2,19,63,201090.0
3.0,11,176000,0,0,120000,0,4,0,24,63,138730.0
89.0,11,162000,5,2,140000,1,0,2,161,63,145800.0
2.0,11,289000,6,1,163000,1,0,2,19,63,153340.0
88.0,11,334000,11,3,191000,1,2,2,19,63,149190.0
1.0,12,441000,13,9,185000,2,4,2,161,63,292490.0
89.0,8,42000,7,5,40000,1,0,2,66,56,205760.0
89.0,11,107000,4,4,107000,1,0,2,19,63,204080.0
89.0,11,275000,5,0,150000,1,0,0,19,63,146380.0
80.0,13,213000,10,2,167000,1,4,0,19,63,141420.0
89.0,10,370000,15,1,210000,1,4,0,57,63,148370.0
12.0,14,175000,16,3,150000,0,4,0,149,63,150280.0
89.0,11,155000,4,0,150000,0,4,0,112,63,134790.0
89.0,11,165000,3,1,142000,1,0,2,112,63,148150.0
89.0,11,215000,6,0,150000,1,0,2,19,63,146330.0
84.0,4,90000,0,0,86000,1,0,0,19,63,149600.0
83.0,4,154000,6,5,134000,1,0,2,112,63,205760.0
89.0,11,390000,6,0,192000,1,0,2,19,63,146330.0
89.0,4,100000,2,2,95000,1,4,0,57,63,134410.0
7.0,11,140000,8,8,117000,1,0,0,153,63,210420.0
89.0,2,125000,7,5,110000,1,0,2,149,63,205760.0
1.0,11,227000,6,0,150000,1,0,2,161,63,146330.0
89.0,11,147000,5,2,130000,1,4,2,19,63,140790.0
89.0,11,233000,9,4,194000,1,0,2,35,64,204080.0
